explanation_id,decision_readiness_id,decision_scorecard_id,decision_package_id,current_readiness,why_assigned,main_blocking_condition,secondary_conditions,what_must_happen_next,who_is_responsible,permitted_management_action,what_status_does_not_mean,full_explanation,governance_note
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260728,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260728,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260728,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260728,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260916,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260916,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260916,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260916,Ready for Integrated Management Review, This package has passed all mandatory gates and is ready for management review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Ready for Integrated Management Review. This package has passed all mandatory gates and is ready for management review. Core risk, recommendation, scenario, and financial information is available. No absolute exclusion applies. Management can review the options and confirm specified matters. Management review may proceed. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261008,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261008,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261008,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261008,Requires Stakeholder Validation, A material input or assumption requires responsible-owner confirmation.,Requires Stakeholder Validation,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Stakeholder Validation. A material input or assumption requires responsible-owner confirmation. Stakeholder confirmation is blocking and cannot be safely resolved analytically. Main blocking condition: Requires Stakeholder Validation. Resolve Requires Stakeholder Validation before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261102,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261102,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261102,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261102,Requires Baseline Validation," The baseline is missing, stale, inconsistent, or not representative.",Requires Baseline Validation,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Requires Baseline Validation. The baseline is missing, stale, inconsistent, or not representative. Baseline validation status is blocking further progression. A valid baseline must be established before management review. Main blocking condition: Requires Baseline Validation. Resolve Requires Baseline Validation before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261107,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261107,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261107,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261107,Requires Additional Scenario Analysis, The comparator set is incomplete or existing scenario results are insufficient.,Requires Additional Scenario Analysis,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Additional Scenario Analysis. The comparator set is incomplete or existing scenario results are insufficient. Additional modelling is required before comparison can be completed. Main blocking condition: Requires Additional Scenario Analysis. Resolve Requires Additional Scenario Analysis before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261219,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261219,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261219,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261219,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261228,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261228,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261228,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20261228,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260128,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260128,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260128,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260128,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260209,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260209,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260209,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260209,Ready for Integrated Management Review, This package has passed all mandatory gates and is ready for management review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Ready for Integrated Management Review. This package has passed all mandatory gates and is ready for management review. Core risk, recommendation, scenario, and financial information is available. No absolute exclusion applies. Management can review the options and confirm specified matters. Management review may proceed. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260222,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260222,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260222,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260222,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260322,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260322,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260322,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260322,Requires Baseline Validation," The baseline is missing, stale, inconsistent, or not representative.",Requires Baseline Validation,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Requires Baseline Validation. The baseline is missing, stale, inconsistent, or not representative. Baseline validation status is blocking further progression. A valid baseline must be established before management review. Main blocking condition: Requires Baseline Validation. Resolve Requires Baseline Validation before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260403,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260403,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260403,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260403,Requires Baseline Validation," The baseline is missing, stale, inconsistent, or not representative.",Requires Baseline Validation,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Requires Baseline Validation. The baseline is missing, stale, inconsistent, or not representative. Baseline validation status is blocking further progression. A valid baseline must be established before management review. Main blocking condition: Requires Baseline Validation. Resolve Requires Baseline Validation before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260411,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260411,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260411,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260411,Requires Stakeholder Validation, A material input or assumption requires responsible-owner confirmation.,Requires Stakeholder Validation,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Stakeholder Validation. A material input or assumption requires responsible-owner confirmation. Stakeholder confirmation is blocking and cannot be safely resolved analytically. Main blocking condition: Requires Stakeholder Validation. Resolve Requires Stakeholder Validation before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260505,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260505,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260505,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260505,Ready for Integrated Management Review, This package has passed all mandatory gates and is ready for management review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Ready for Integrated Management Review. This package has passed all mandatory gates and is ready for management review. Core risk, recommendation, scenario, and financial information is available. No absolute exclusion applies. Management can review the options and confirm specified matters. Management review may proceed. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260601,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260601,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260601,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260601,Ready for Integrated Management Review, This package has passed all mandatory gates and is ready for management review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Ready for Integrated Management Review. This package has passed all mandatory gates and is ready for management review. Core risk, recommendation, scenario, and financial information is available. No absolute exclusion applies. Management can review the options and confirm specified matters. Management review may proceed. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260608,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260608,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260608,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260608,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260617,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260617,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260617,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260617,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260624,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260624,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260624,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260624,Ready for Integrated Management Review, This package has passed all mandatory gates and is ready for management review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Ready for Integrated Management Review. This package has passed all mandatory gates and is ready for management review. Core risk, recommendation, scenario, and financial information is available. No absolute exclusion applies. Management can review the options and confirm specified matters. Management review may proceed. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260701,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260701,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260701,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260701,Requires Evidence Completion, Required evidence references are missing or applicable analytical phases are not covered.,Requires Evidence Completion,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Evidence Completion. Required evidence references are missing or applicable analytical phases are not covered. Evidence completeness is insufficient for management review. Main blocking condition: Requires Evidence Completion. Resolve Requires Evidence Completion before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260709,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260709,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260709,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260709,Requires Evidence Completion, Required evidence references are missing or applicable analytical phases are not covered.,Requires Evidence Completion,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Evidence Completion. Required evidence references are missing or applicable analytical phases are not covered. Evidence completeness is insufficient for management review. Main blocking condition: Requires Evidence Completion. Resolve Requires Evidence Completion before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260802,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260802,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260802,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260802,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20261111,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20261111,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20261111,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20261111,Requires Lineage Completion, Source-to-decision lineage is incomplete or orphan references exist.,Requires Lineage Completion,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Lineage Completion. Source-to-decision lineage is incomplete or orphan references exist. The decision record cannot be fully traced without completing lineage. Main blocking condition: Requires Lineage Completion. Resolve Requires Lineage Completion before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260405,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260405,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260405,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260405,Monitoring Only, This case does not currently require active intervention review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Monitoring Only. This case does not currently require active intervention review. The analytical route calls for continued observation. Monitoring requirements are present and escalation triggers are defined. Continue monitoring until escalation trigger is met. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260412,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260412,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260412,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260412,Monitoring Only, This case does not currently require active intervention review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Monitoring Only. This case does not currently require active intervention review. The analytical route calls for continued observation. Monitoring requirements are present and escalation triggers are defined. Continue monitoring until escalation trigger is met. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260429,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260429,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260429,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260429,Monitoring Only, This case does not currently require active intervention review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Monitoring Only. This case does not currently require active intervention review. The analytical route calls for continued observation. Monitoring requirements are present and escalation triggers are defined. Continue monitoring until escalation trigger is met. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260506,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260506,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260506,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260506,Monitoring Only, This case does not currently require active intervention review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Monitoring Only. This case does not currently require active intervention review. The analytical route calls for continued observation. Monitoring requirements are present and escalation triggers are defined. Continue monitoring until escalation trigger is met. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260510,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260510,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260510,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260510,Monitoring Only, This case does not currently require active intervention review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Monitoring Only. This case does not currently require active intervention review. The analytical route calls for continued observation. Monitoring requirements are present and escalation triggers are defined. Continue monitoring until escalation trigger is met. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260519,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260519,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260519,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260519,Monitoring Only, This case does not currently require active intervention review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Monitoring Only. This case does not currently require active intervention review. The analytical route calls for continued observation. Monitoring requirements are present and escalation triggers are defined. Continue monitoring until escalation trigger is met. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260527,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260527,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260527,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260527,Monitoring Only, This case does not currently require active intervention review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Monitoring Only. This case does not currently require active intervention review. The analytical route calls for continued observation. Monitoring requirements are present and escalation triggers are defined. Continue monitoring until escalation trigger is met. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260621,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260621,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260621,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260621,Monitoring Only, This case does not currently require active intervention review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Monitoring Only. This case does not currently require active intervention review. The analytical route calls for continued observation. Monitoring requirements are present and escalation triggers are defined. Continue monitoring until escalation trigger is met. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260626,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260626,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260626,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260626,Monitoring Only, This case does not currently require active intervention review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Monitoring Only. This case does not currently require active intervention review. The analytical route calls for continued observation. Monitoring requirements are present and escalation triggers are defined. Continue monitoring until escalation trigger is met. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260704,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260704,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260704,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260704,Monitoring Only, This case does not currently require active intervention review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Monitoring Only. This case does not currently require active intervention review. The analytical route calls for continued observation. Monitoring requirements are present and escalation triggers are defined. Continue monitoring until escalation trigger is met. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260711,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260711,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260711,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260711,Monitoring Only, This case does not currently require active intervention review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Monitoring Only. This case does not currently require active intervention review. The analytical route calls for continued observation. Monitoring requirements are present and escalation triggers are defined. Continue monitoring until escalation trigger is met. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260715,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260715,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260715,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260715,Monitoring Only, This case does not currently require active intervention review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Monitoring Only. This case does not currently require active intervention review. The analytical route calls for continued observation. Monitoring requirements are present and escalation triggers are defined. Continue monitoring until escalation trigger is met. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260722,DR-DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260722,DSC-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260722,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260722,Monitoring Only, This case does not currently require active intervention review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Monitoring Only. This case does not currently require active intervention review. The analytical route calls for continued observation. Monitoring requirements are present and escalation triggers are defined. Continue monitoring until escalation trigger is met. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
